absolute_magnitude,est_dia_in_m_max,epoch_date_close_approach,relative_velocity_km_per_sec,miss_dist._astronomical,orbit_id,orbit_uncertainity,minimum_orbit_intersection,jupiter_tisserand_invariant,epoch_osculation,eccentricity,inclination,asc_node_longitude,orbital_period,perihelion_distance,perihelion_arg,mean_anomaly,hazardous
19.5,748.2383760735,1204963200000,21.2276806688,0.3046951188,28,0,0.109441,4.417,2458000.5,0.352410930053202,25.78119749058925,170.308800948203,656.8721091729773,0.9576815195857163,64.345269633675,75.97360123132948,0
19.6,714.5621017269,817027200000,13.121608316,0.3612256356,109,0,0.0247891,5.31,2458000.5,0.2365803036841376,25.00778018028834,57.87465674677426,457.5494078476248,0.887135055920349,240.7970766723728,248.6885108731514,1
24.9,62.2357573367,1161500400000,15.2374431796,0.0165377733,6,9,0.0010863,5.142,2454040.5,0.4937118842802246,1.535722552153813,206.9584712845233,485.5217476860482,0.6120749048869145,82.87282546066261,50.01804119939298,0
21.2,342.0109247198,1469170800000,14.2805780601,0.2809900862,20,0,0.109607,5.316,2457600.5,0.1224300066361258,28.94828137810144,118.5841151778075,454.587681732057,1.015378404917204,72.06262379211482,113.3827336410694,0
27.5,18.7948982439,1418630400000,6.4237878752,0.0099673571,3,8,0.00582799,4.671,2457013.5,0.3212253172348316,4.542529523772021,84.72214521123641,612.2794896396684,0.9578404169520964,327.5104115711155,19.05772569774196,0
26.0,37.5007521798,1316674800000,5.7933050342,0.2088422343,19,6,0.000655736,6.371,2458000.5,0.1377393526448564,5.773028568055079,115.4537633274837,333.0497170156495,0.8107973624153754,243.2897646889572,189.0511121549629,0
20.5,472.1064988055,1160895600000,18.8858005102,0.1271876483,33,0,0.0285212,4.345,2458000.5,0.6132024443842551,23.55837363268557,13.49679062330535,640.1522419049428,0.5622640072554468,103.3124779375411,45.71916500498749,1
19.6,714.5621017269,1308726000000,23.4774813494,0.3649438648,43,1,0.272213,4.724,2458000.5,0.5634411100746358,17.92774837902645,178.9719525667907,556.1605444942963,0.5777997314074783,198.1459598526758,354.237396160877,0
23.3,130.0289270043,1429686000000,9.2678319203,0.0520317329,19,7,0.0320572,3.863,2458000.5,0.4766056339184258,3.462588741881055,233.2136363443069,916.4841398211402,0.9664514931604292,299.490733655461,351.9875164843269,0
25.2,54.2050786336,1269241200000,4.135304259,0.0644666724,10,8,0.0601964,4.509,2455298.5,0.2926014196181583,5.08174298490331,190.326226500181,665.1270594443452,1.054876563971577,346.97609237,13.97569264094457,0
24.1,89.9580388169,1406012400000,11.4976460297,0.3548887329,21,1,0.00702408,5.991,2458000.5,0.00752235509936797,11.23221987664612,120.8431101168368,373.7391699479398,1.007784156543668,15.57689542286544,204.6266851157035,0
19.0,941.9763057186,1307516400000,13.9329582529,0.3755482963,16,1,0.234375,3.978,2458000.5,0.586111914502141,21.31193327166647,163.9848655793731,785.0698720100336,0.689323123860779,24.65272626080445,344.4073489471346,0
22.2,215.7943048444,1333868400000,29.681975101,0.1529035443,13,6,0.00288912,3.757,2458000.5,0.6482865730686355,32.9466077330544,206.1479858489916,825.519359741921,0.605724079546939,89.84941517852722,120.0728978509019,0
20.3,517.6544821978,1319266800000,7.4623208361,0.2313187827,20,0,0.19422,3.044,2458000.5,0.6035183490605425,11.44962927635924,310.2103075990198,1637.111439900836,1.077811891136911,73.46064263374798,112.0805042359368,0
26.7,27.1668934089,1093158000000,10.5389954883,0.0607470582,7,7,0.0033078,7.649,2458000.5,0.4434104953860149,3.986823210069767,21.96439445291855,235.5279516741896,0.415429849493708,151.3159781134106,213.3967638396641,0
16.9,2477.6501260554,863074800000,18.525808002,0.1555087624,271,0,0.000589605,4.526,2458000.5,0.4838860272644417,4.098502713805458,213.7557110065767,632.9667687674583,0.7446187002677496,102.9185319595481,233.0720937092198,1
25.0,59.4346868419,1458025200000,14.8586863572,0.3278238384,13,5,0.0126898,5.888,2458000.5,0.1525238163656098,2.837680276308401,25.74093476351028,387.1664475217875,0.8810360788665414,247.7282968531734,77.98843571324507,0
